Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","90.323467","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","90.491043","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","90.491043","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","90.826195","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","91.668322","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","91.57783","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","92.083015","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","92.334379","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","92.334379","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","92.501955","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","92.837107","E","Estimated value","base year is 2015"
